date,time,race,type,location
1/24/20,23:13:28,white,2 Equipment,COWELL BL
1/24/20,15:09:44,white,3 Non-Moving,COWELL BL
1/24/20,22:15:33,black/african american,1 Moving,E 8TH ST
1/24/20,09:22:10,hispanic/latino(a),3 Non-Moving,CHILES RD
1/24/20,18:49:28,white,1 Moving,RICHARDS BL
1/24/20,14:24:34,white,3 Non-Moving,OLIVE DR
1/24/20,14:38:14,white,1 Moving,2ND ST
1/24/20,23:04:29,white,1 Moving,MACE BL
1/24/20,01:02:46,white,1 Moving,POLE LINE RD
1/24/20,15:26:44,white,3 Non-Moving,EL CEMONTE AV
1/24/20,22:28:33,mixed,2 Equipment,B ST
1/24/20,08:40:05,hispanic/latino(a),3 Non-Moving,MACE BL
1/24/20,12:07:07,white,3 Non-Moving,COWELL BL
1/24/20,21:03:04,middle eastern or south asian,2 Equipment,D ST
1/24/20,12:07:07,white,3 Non-Moving,COWELL BL
1/25/20,20:38:45,hispanic/latino(a),1 Moving,5TH ST
1/25/20,01:41:57,white,3 Non-Moving,2ND ST
1/25/20,08:04:45,white,1 Moving,POLE LINE RD
1/25/20,10:08:09,white,1 Moving,CHILES RD
1/25/20,21:02:11,middle eastern or south asian,2 Equipment,E 8TH ST
1/25/20,01:41:57,white,3 Non-Moving,2ND ST
1/25/20,23:39:04,white,1 Moving,B ST
1/26/20,20:41:54,hispanic/latino(a),1 Moving,2ND ST
1/26/20,22:04:11,middle eastern or south asian,1 Moving,B ST
1/26/20,23:14:13,hispanic/latino(a),3 Non-Moving,DRAKE DR
1/26/20,21:54:33,asian,1 Moving,B ST
1/26/20,14:19:38,white,1 Moving,5TH ST
1/26/20,21:25:04,middle eastern or south asian,2 Equipment,POLE LINE RD
1/26/20,22:50:29,hispanic/latino(a),1 Moving,ALHAMBRA DR
1/26/20,23:14:13,white,3 Non-Moving,DRAKE DR
1/26/20,22:44:37,white,3 Non-Moving,CHILES RD
1/26/20,18:17:33,hispanic/latino(a),2 Equipment,2ND ST
1/26/20,14:13:01,asian,1 Moving,5TH ST
1/27/20,13:56:29,asian,1 Moving,1ST ST
1/27/20,18:15:29,asian,1 Moving,W 8TH ST
1/27/20,22:45:45,white,2 Equipment,MACE BL
1/27/20,20:57:59,white,1 Moving,2ND ST
1/27/20,13:26:08,white,1 Moving,RICHARDS BL
1/27/20,19:47:46,white,2 Equipment,SYCAMORE LN
1/27/20,21:20:03,white,2 Equipment,I 80 E
1/27/20,14:49:31,white,2 Equipment,POLE LINE RD
1/27/20,23:33:29,hispanic/latino(a),2 Equipment,RICHARDS BL
1/27/20,18:57:56,asian,1 Moving,CANTRILL DR
1/27/20,14:06:00,asian,3 Non-Moving,1ST ST
1/27/20,14:49:31,white,2 Equipment,POLE LINE RD
1/27/20,22:22:10,hispanic/latino(a),2 Equipment,CHILES RD
1/27/20,13:43:49,hispanic/latino(a),1 Moving,1ST ST
1/27/20,18:35:53,white,1 Moving,SYCAMORE LN
1/27/20,12:54:22,black/african american,1 Moving,6TH ST
1/27/20,08:39:39,white,1 Moving,DANBURY ST
1/27/20,14:55:48,asian,1 Moving,ANDERSON RD
1/27/20,20:35:28,hispanic/latino(a),3 Non-Moving,RESEARCH PARK DR
1/27/20,12:00:53,white,1 Moving,1ST ST
1/28/20,23:05:07,white,2 Equipment,I 80 E
1/28/20,20:38:15,white,1 Moving,CHILES RD
1/28/20,10:02:53,white,1 Moving,SYCAMORE LN
1/28/20,20:08:15,black/african american,3 Non-Moving,POLE LINE RD
1/28/20,14:57:42,asian,1 Moving,COWELL BL
1/28/20,10:42:41,asian,2 Equipment,RICHARDS BL
1/28/20,08:18:39,hispanic/latino(a),3 Non-Moving,SYCAMORE LN
1/28/20,14:30:00,white,1 Moving,ASHLAND TR
1/28/20,16:16:14,white,2 Equipment,RUSSELL BL
1/28/20,09:23:57,asian,1 Moving,W COVELL BL
1/28/20,15:08:11,white,1 Moving,COWELL BL
1/28/20,08:32:44,white,1 Moving,COWELL BL
1/28/20,14:43:11,white,1 Moving,CHILES RD
1/28/20,16:30:29,asian,2 Equipment,HANOVER DR
1/28/20,13:25:08,white,1 Moving,ANDERSON RD
1/28/20,10:11:40,black/african american,1 Moving,1ST ST
1/28/20,08:43:49,white,1 Moving,W COVELL BL
1/28/20,19:09:30,hispanic/latino(a),1 Moving,CHILES RD
1/28/20,16:08:22,white,1 Moving,SYCAMORE LN
1/28/20,16:06:51,hispanic/latino(a),1 Moving,2ND ST
1/28/20,09:14:56,white,1 Moving,W COVELL BL
1/28/20,12:50:52,black/african american,1 Moving,ANDERSON RD
1/28/20,10:28:32,asian,1 Moving,1ST ST
1/28/20,17:01:54,white,3 Non-Moving,5TH ST
1/28/20,10:10:50,asian,1 Moving,SYCAMORE LN
1/29/20,08:42:19,asian,3 Non-Moving,E 8TH ST
1/29/20,15:14:50,black/african american,3 Non-Moving,HWY 113
1/29/20,11:10:53,white,1 Moving,WRIGHT BL
1/29/20,11:25:32,white,1 Moving,E COVELL BL
1/29/20,10:18:43,white,1 Moving,DREXEL DR
1/29/20,16:15:57,black/african american,3 Non-Moving,POLE LINE RD
1/29/20,15:27:11,white,3 Non-Moving,CHILES RD
1/29/20,09:54:12,asian,1 Moving,ANDERSON RD
1/29/20,21:48:40,hispanic/latino(a),2 Equipment,MACE BL
1/29/20,13:32:40,white,1 Moving,W 8TH ST
1/29/20,10:10:28,middle eastern or south asian,1 Moving,ANDERSON RD
1/29/20,15:58:17,black/african american,1 Moving,PORTAGE BAY EAST
1/29/20,17:10:49,white,1 Moving,CR32A
1/29/20,09:41:19,white,1 Moving,ALHAMBRA DR
1/29/20,09:12:13,hispanic/latino(a),1 Moving,CANTRILL DR
1/29/20,11:39:10,white,2 Equipment,POLE LINE RD
1/29/20,15:42:58,hispanic/latino(a),1 Moving,W COVELL BL
1/29/20,15:33:55,white,1 Moving,JOHN JONES RD
1/29/20,13:47:49,white,1 Moving,SYCAMORE LN
1/29/20,08:50:48,hispanic/latino(a),1 Moving,MONTGOMERY AV
1/29/20,13:09:42,middle eastern or south asian,1 Moving,SYCAMORE LN
1/29/20,15:39:19,hispanic/latino(a),3 Non-Moving,MACE BL
1/29/20,14:07:43,white,1 Moving,SYCAMORE LN
1/29/20,19:11:23,hispanic/latino(a),3 Non-Moving,HWY 113 N
