date,time,race,type,location
5/24/20,19:57:28,middle eastern or south asian,1 Moving,I 80 E
5/24/20,19:14:01,mixed,1 Moving,CHILES RD
5/25/20,05:17:33,white,1 Moving,MACE BL
5/25/20,05:50:47,hispanic/latino(a),1 Moving,MACE BL
5/25/20,15:32:07,middle eastern or south asian,1 Moving,I 80 E
5/25/20,23:20:25,white,3 Non-Moving,I 80 E
5/25/20,14:36:23,white,1 Moving,RICHARDS BL
5/26/20,08:48:28,white,2 Equipment,F ST
5/26/20,20:08:35,white,2 Equipment,CHILES RD
5/26/20,11:25:52,hispanic/latino(a),1 Moving,RICHARDS BL
5/26/20,00:00:13,white,1 Moving,DREW AV
5/26/20,00:00:13,white,1 Moving,DREW AV
5/26/20,01:24:54,white,1 Moving,W 8TH ST
5/26/20,17:34:54,black/african american,2 Equipment,E COVELL BL
5/26/20,20:08:35,black/african american,2 Equipment,CHILES RD
5/26/20,16:59:33,white,2 Equipment,COWELL BL
5/26/20,02:52:26,black/african american,1 Moving,W 14TH ST
5/27/20,14:37:46,black/african american,2 Equipment,ALHAMBRA DR
5/27/20,23:38:44,white,3 Non-Moving,I 80 E
5/27/20,17:31:39,white,3 Non-Moving,ENSENADA DR
5/27/20,22:42:56,black/african american,2 Equipment,W COVELL BL
5/27/20,15:51:27,hispanic/latino(a),2 Equipment,COWELL BL
5/27/20,23:01:22,middle eastern or south asian,1 Moving,F ST
5/27/20,08:59:09,white,1 Moving,ANDERSON RD
5/27/20,19:05:19,middle eastern or south asian,1 Moving,2ND ST
5/27/20,14:17:56,white,1 Moving,1ST ST
5/27/20,21:40:52,black/african american,3 Non-Moving,
5/27/20,23:56:31,white,1 Moving,G ST
5/27/20,18:49:44,asian,1 Moving,CANTRILL DR
5/27/20,15:34:05,black/african american,3 Non-Moving,OLIVE DR
5/27/20,21:59:53,white,2 Equipment,CHILES RD
5/28/20,21:47:53,white,2 Equipment,I 80 W
5/28/20,22:28:34,black/african american,2 Equipment,MACE BL
5/28/20,22:53:31,asian,1 Moving,I 80 W
5/28/20,22:09:21,hispanic/latino(a),1 Moving,MACE BL
5/28/20,23:21:02,hispanic/latino(a),3 Non-Moving,W COVELL BL
5/28/20,21:59:52,black/african american,2 Equipment,CHILES RD
5/28/20,20:57:32,white,2 Equipment,B ST
5/28/20,05:59:45,white,1 Moving,W COVELL BL
5/28/20,21:39:47,hispanic/latino(a),2 Equipment,CHILES RD
5/28/20,23:26:10,middle eastern or south asian,1 Moving,RICHARDS BL
5/28/20,22:46:56,white,1 Moving,COWELL BL
5/29/20,02:12:17,black/african american,3 Non-Moving,RUSSELL BL
5/29/20,01:53:57,white,2 Equipment,CHILES RD
5/30/20,23:42:32,white,2 Equipment,CANTRILL DR
5/30/20,01:13:23,white,2 Equipment,L ST
5/30/20,23:02:59,hispanic/latino(a),1 Moving,W COVELL BL
5/30/20,02:16:51,hispanic/latino(a),2 Equipment,J ST
6/1/20,11:50:17,hispanic/latino(a),1 Moving,RICHARDS BL
6/1/20,09:47:52,white,1 Moving,RUSSELL BL
6/1/20,12:22:29,asian,1 Moving,1ST ST
6/1/20,19:30:32,hispanic/latino(a),3 Non-Moving,G ST
6/2/20,09:40:56,white,1 Moving,RICHARDS BL
6/2/20,09:12:02,white,1 Moving,OLIVE DR
6/2/20,08:47:13,white,1 Moving,RICHARDS BL
6/2/20,20:21:56,white,1 Moving,F ST
6/3/20,23:43:11,white,2 Equipment,CHILES RD
6/3/20,11:36:18,asian,1 Moving,E COVELL BL
6/3/20,09:57:17,hispanic/latino(a),1 Moving,E COVELL BL
6/3/20,12:35:20,white,1 Moving,VILLANOVA DR
6/3/20,15:21:20,hispanic/latino(a),1 Moving,MACE BL
6/3/20,12:13:18,white,1 Moving,POLE LINE RD
6/3/20,11:21:24,white,1 Moving,E COVELL BL
6/3/20,10:36:02,white,1 Moving,POLE LINE RD
6/4/20,11:27:31,white,1 Moving,ANDERSON RD
6/4/20,23:25:16,black/african american,2 Equipment,RICHARDS BL
6/4/20,21:29:35,black/african american,3 Non-Moving,MACE BL
6/4/20,23:12:22,white,2 Equipment,C ST
6/4/20,00:53:26,hispanic/latino(a),3 Non-Moving,RICHARDS BL
6/4/20,00:53:26,hispanic/latino(a),3 Non-Moving,RICHARDS BL
6/4/20,21:15:19,hispanic/latino(a),1 Moving,RICHARDS BL
6/4/20,22:28:28,white,2 Equipment,COWELL BL
6/4/20,03:37:13,black/african american,2 Equipment,MACE BL
6/5/20,20:49:43,white,2 Equipment,MACE BL
6/5/20,21:11:06,hispanic/latino(a),3 Non-Moving,W COVELL BL
6/5/20,03:20:07,white,1 Moving,SR113
6/5/20,20:20:04,asian,1 Moving,5TH ST
6/7/20,02:58:29,white,2 Equipment,5TH ST
6/7/20,02:58:29,mixed,2 Equipment,5TH ST
6/7/20,02:58:29,white,2 Equipment,5TH ST
6/8/20,10:08:54,white,1 Moving,E COVELL BL
6/8/20,09:55:51,hispanic/latino(a),1 Moving,E COVELL BL
6/8/20,10:29:25,hispanic/latino(a),1 Moving,MONARCH LN
6/8/20,15:46:00,white,1 Moving,RESEARCH PARK DR
6/8/20,12:39:32,white,1 Moving,VILLANOVA DR
6/8/20,09:04:50,hispanic/latino(a),1 Moving,E COVELL BL
6/9/20,23:41:32,hispanic/latino(a),2 Equipment,W OLIVE DR
6/9/20,00:04:27,hispanic/latino(a),2 Equipment,COWELL BL
6/11/20,23:24:02,hispanic/latino(a),2 Equipment,CHILES RD
6/12/20,04:22:42,black/african american,1 Moving,B ST
6/13/20,20:21:40,white,2 Equipment,LAKE BL
6/13/20,00:51:19,asian,1 Moving,5TH ST
6/13/20,05:31:44,hispanic/latino(a),1 Moving,E 8TH ST
6/13/20,01:20:54,asian,2 Equipment,F ST
6/14/20,11:39:24,white,1 Moving,W COVELL BL
6/14/20,15:20:14,white,1 Moving,5TH ST
6/14/20,22:06:35,white,1 Moving,W COVELL BL
6/14/20,03:56:54,hispanic/latino(a),3 Non-Moving,RICHARDS BL
6/15/20,22:01:51,asian,1 Moving,1ST ST
6/15/20,05:58:54,white,1 Moving,I 80 W
6/15/20,11:36:45,hispanic/latino(a),1 Moving,LOYOLA DR
6/15/20,04:14:27,black/african american,1 Moving,I 80 E
6/15/20,15:31:52,white,1 Moving,CHILES RD
6/16/20,16:48:54,hispanic/latino(a),1 Moving,MONARCH LN
6/16/20,08:15:12,asian,1 Moving,E COVELL BL
6/16/20,16:58:49,white,1 Moving,ANDERSON RD
6/16/20,16:17:53,asian,1 Moving,E COVELL BL
6/16/20,08:35:28,hispanic/latino(a),1 Moving,E COVELL BL
6/16/20,08:59:40,middle eastern or south asian,1 Moving,E COVELL BL
6/16/20,16:31:58,white,1 Moving,E COVELL BL
6/16/20,18:30:34,hispanic/latino(a),1 Moving,2ND ST
6/17/20,02:06:50,black/african american,1 Moving,MACE BL
6/17/20,00:17:49,asian,3 Non-Moving,5TH ST
6/17/20,01:48:27,white,2 Equipment,5TH ST
6/17/20,13:59:17,hispanic/latino(a),1 Moving,CABOT ST
6/17/20,00:35:28,black/african american,3 Non-Moving,FERMI PL
6/17/20,13:59:17,hispanic/latino(a),1 Moving,CABOT ST
6/17/20,00:58:45,white,2 Equipment,MACE BL
6/17/20,00:58:45,hispanic/latino(a),2 Equipment,MACE BL
6/18/20,23:49:41,white,3 Non-Moving,COWELL BL
6/21/20,05:47:54,hispanic/latino(a),1 Moving,I 80 E
6/21/20,22:57:17,hispanic/latino(a),1 Moving,SHASTA DR
6/21/20,21:56:56,middle eastern or south asian,1 Moving,MACE BL
6/22/20,02:34:13,white,2 Equipment,SYCAMORE LN
6/25/20,23:01:26,white,1 Moving,B ST
6/26/20,23:29:03,white,2 Equipment,2ND ST
6/27/20,02:00:13,white,3 Non-Moving,RICHARDS BL
6/27/20,05:31:31,white,1 Moving,I 80 W
6/27/20,22:10:24,asian,1 Moving,COWELL BL
6/27/20,06:03:48,mixed,1 Moving,J ST
6/27/20,21:21:41,hispanic/latino(a),1 Moving,2ND ST
6/28/20,20:04:05,white,1 Moving,RICHARDS BL
6/28/20,02:15:43,middle eastern or south asian,3 Non-Moving,RICHARDS BL
6/28/20,02:21:02,black/african american,2 Equipment,CHILES RD
6/28/20,05:51:58,black/african american,1 Moving,I 80 W
6/28/20,20:47:27,hispanic/latino(a),1 Moving,5TH ST
6/29/20,02:55:06,asian,1 Moving,RICHARDS BL
6/29/20,05:45:36,white,1 Moving,CHILES RD
6/29/20,06:00:22,mixed,1 Moving,COWELL BL
6/30/20,17:49:52,hispanic/latino(a),1 Moving,POLE LINE RD
6/30/20,18:18:48,white,3 Non-Moving,RUSSELL BL
6/30/20,18:19:03,white,3 Non-Moving,COWELL BL
6/30/20,21:04:53,hispanic/latino(a),2 Equipment,CHILES RD
6/30/20,21:49:00,asian,1 Moving,A ST
7/2/20,23:36:16,hispanic/latino(a),2 Equipment,F ST
7/2/20,18:19:53,white,2 Equipment,ALHAMBRA DR
7/3/20,00:01:43,hispanic/latino(a),3 Non-Moving,I 80 E
7/3/20,22:10:00,white,1 Moving,J ST
7/4/20,23:49:18,asian,1 Moving,E COVELL BL
7/4/20,23:03:29,hispanic/latino(a),1 Moving,W COVELL BL
7/4/20,05:22:57,hispanic/latino(a),1 Moving,5TH ST
7/5/20,01:16:19,white,1 Moving,W COVELL BL
7/5/20,06:12:58,middle eastern or south asian,1 Moving,MACE BL
7/5/20,06:19:15,asian,1 Moving,CHILES RD
7/5/20,23:02:40,black/african american,1 Moving,RESEARCH PARK DR
7/5/20,22:31:16,mixed,1 Moving,MACE BL
7/5/20,22:48:52,asian,1 Moving,E COVELL BL
7/6/20,05:50:07,hispanic/latino(a),1 Moving,E COVELL BL
7/6/20,05:56:44,white,1 Moving,E COVELL BL
7/6/20,23:59:52,white,3 Non-Moving,COWELL BL
7/6/20,05:39:46,white,1 Moving,MACE BL
7/6/20,06:10:32,black/african american,1 Moving,E COVELL BL
7/7/20,22:43:15,white,1 Moving,COWELL BL
7/7/20,20:52:41,white,2 Equipment,HAMEL ST
7/7/20,00:50:34,asian,2 Equipment,5TH ST
7/7/20,01:04:18,hispanic/latino(a),1 Moving,I 80 E
7/11/20,20:51:22,white,1 Moving,W COVELL BL
7/11/20,22:34:52,black/african american,1 Moving,MACE BL
7/11/20,04:45:04,white,1 Moving,OLD DAVIS RD
7/11/20,22:55:28,hispanic/latino(a),1 Moving,POLE LINE RD
7/12/20,20:48:43,hispanic/latino(a),1 Moving,RICHARDS BL
7/12/20,06:23:04,hispanic/latino(a),1 Moving,I 80 E
7/12/20,23:24:52,black/african american,1 Moving,DENALI DR
7/12/20,20:39:31,hispanic/latino(a),1 Moving,HWY 113 S
7/12/20,23:18:52,hispanic/latino(a),3 Non-Moving,COWELL BL
7/12/20,05:53:57,middle eastern or south asian,1 Moving,I 80 E
7/13/20,01:02:20,asian,1 Moving,1ST ST
7/14/20,15:35:29,hispanic/latino(a),1 Moving,EL CEMONTE AV
7/14/20,15:12:40,white,1 Moving,LA VIDA WY
7/14/20,15:57:26,mixed,1 Moving,MACE BL
7/15/20,21:32:02,hispanic/latino(a),2 Equipment,2ND ST
7/16/20,16:31:28,hispanic/latino(a),3 Non-Moving,CHILES RD
7/16/20,08:24:28,black/african american,1 Moving,5TH ST
7/16/20,21:27:21,white,2 Equipment,2ND ST
7/16/20,21:17:42,white,1 Moving,MACE BL
7/17/20,04:52:24,white,1 Moving,J ST
7/19/20,21:55:31,hispanic/latino(a),1 Moving,E COVELL BL
7/19/20,02:58:47,hispanic/latino(a),1 Moving,RUSSELL BL
7/19/20,06:21:46,hispanic/latino(a),1 Moving,I 80 E
7/19/20,21:34:31,asian,3 Non-Moving,RUSSELL BL
7/19/20,21:40:35,asian,1 Moving,RUSSELL BL
7/19/20,23:38:10,hispanic/latino(a),1 Moving,JOHN JONES RD
7/19/20,06:47:52,middle eastern or south asian,1 Moving,I 80 E
7/19/20,00:48:35,white,3 Non-Moving,MACE BL
7/19/20,22:18:06,hispanic/latino(a),1 Moving,MACE BL
7/19/20,22:52:30,white,1 Moving,COWELL BL
7/20/20,05:57:44,hispanic/latino(a),1 Moving,E COVELL BL
7/20/20,06:19:12,mixed,1 Moving,I 80 E
7/20/20,00:39:11,white,3 Non-Moving,CLAREMONT DR
7/20/20,01:35:34,white,1 Moving,RICHARDS BL
7/20/20,01:44:40,middle eastern or south asian,2 Equipment,I 80 W
7/20/20,05:24:13,white,2 Equipment,MACE BL
7/20/20,00:58:20,white,1 Moving,5TH ST
7/20/20,18:27:57,hispanic/latino(a),1 Moving,J ST
7/21/20,19:20:23,middle eastern or south asian,1 Moving,POLE LINE RD
7/23/20,03:38:48,white,1 Moving,HWY 113 N
7/24/20,12:41:49,white,1 Moving,H ST
7/25/20,22:34:50,mixed,2 Equipment,COWELL BL
7/25/20,01:03:02,middle eastern or south asian,1 Moving,ARLINGTON BL
7/25/20,13:34:16,asian,1 Moving,RUSSELL BL
7/26/20,05:44:20,white,1 Moving,I 80 E
7/26/20,02:19:44,white,1 Moving,MACE BL
7/26/20,22:56:46,hispanic/latino(a),1 Moving,L ST
7/26/20,06:16:01,hispanic/latino(a),1 Moving,I 80 E
7/29/20,22:37:51,white,1 Moving,LAKE BL
7/29/20,22:47:19,mixed,1 Moving,CR102
7/30/20,00:04:51,asian,1 Moving,F ST
7/30/20,11:05:01,black/african american,3 Non-Moving,ARLINGTON BL
7/30/20,11:05:01,white,3 Non-Moving,ARLINGTON BL
7/31/20,23:24:08,black/african american,1 Moving,COWELL BL
7/31/20,00:46:10,asian,1 Moving,POLE LINE RD
8/1/20,21:05:16,black/african american,1 Moving,W COVELL BL
8/2/20,17:26:10,asian,1 Moving,5TH ST
8/2/20,23:39:00,white,2 Equipment,SYCAMORE LN
8/2/20,02:27:23,hispanic/latino(a),1 Moving,W COVELL BL
8/2/20,22:42:51,mixed,1 Moving,MACE BL
8/3/20,00:05:29,white,1 Moving,W COVELL BL
8/4/20,03:00:51,hispanic/latino(a),1 Moving,5TH ST
8/5/20,03:09:05,hispanic/latino(a),2 Equipment,POLE LINE RD
8/5/20,03:46:29,white,2 Equipment,COWELL BL
8/5/20,00:43:13,white,2 Equipment,SYCAMORE LN
8/5/20,00:09:57,white,2 Equipment,RUSSELL BL
8/6/20,00:48:23,white,1 Moving,OAK AV
8/6/20,01:44:25,hispanic/latino(a),2 Equipment,CHILES RD
8/6/20,01:22:34,hispanic/latino(a),2 Equipment,5TH ST
8/6/20,23:47:46,white,1 Moving,CHILES RD
8/6/20,02:17:59,hispanic/latino(a),2 Equipment,ALVARADO AV
8/7/20,23:03:28,white,1 Moving,5TH ST
8/8/20,10:47:12,black/african american,2 Equipment,2ND ST
8/9/20,21:13:16,hispanic/latino(a),1 Moving,ANDERSON RD
8/9/20,22:43:12,black/african american,1 Moving,W COVELL BL
8/9/20,02:33:07,hispanic/latino(a),1 Moving,B ST
8/10/20,21:08:56,white,3 Non-Moving,POLE LINE RD
8/10/20,02:57:59,hispanic/latino(a),1 Moving,E COVELL BL
8/10/20,23:57:33,hispanic/latino(a),3 Non-Moving,5TH ST
8/12/20,18:33:25,white,2 Equipment,5TH ST
8/12/20,21:57:24,middle eastern or south asian,1 Moving,I 80 W
8/12/20,17:04:42,black/african american,2 Equipment,CHILES RD
8/13/20,04:34:18,white,2 Equipment,CR99
8/15/20,17:55:39,mixed,1 Moving,E COVELL BL
8/15/20,14:04:58,white,1 Moving,MACE BL
8/15/20,03:26:41,asian,1 Moving,CHILES RD
8/16/20,07:32:00,asian,1 Moving,SYCAMORE LN
8/16/20,22:47:22,black/african american,1 Moving,COWELL BL
8/16/20,21:27:09,white,1 Moving,W COVELL BL
8/16/20,02:37:07,black/african american,2 Equipment,W COVELL BL
8/17/20,00:42:10,hispanic/latino(a),2 Equipment,5TH ST
8/22/20,14:51:33,mixed,1 Moving,COWELL BL
8/22/20,20:48:03,hispanic/latino(a),1 Moving,E ST
8/23/20,04:13:13,middle eastern or south asian,1 Moving,POLE LINE RD
8/23/20,22:05:20,white,1 Moving,COWELL BL
8/23/20,06:27:56,white,3 Non-Moving,RICHARDS BL
8/23/20,00:49:51,white,1 Moving,MACE BL
8/23/20,06:27:56,hispanic/latino(a),3 Non-Moving,RICHARDS BL
8/23/20,22:40:57,white,1 Moving,2ND ST
8/23/20,23:08:47,hispanic/latino(a),1 Moving,I 80 E
8/24/20,05:50:22,middle eastern or south asian,1 Moving,E COVELL BL
8/24/20,22:03:25,black/african american,2 Equipment,LILLARD DR
8/24/20,00:36:24,white,1 Moving,MACE BL
8/24/20,05:57:42,white,1 Moving,MACE BL
8/24/20,06:13:41,middle eastern or south asian,1 Moving,E COVELL BL
8/25/20,12:57:52,white,3 Non-Moving,5TH ST
8/26/20,02:28:58,black/african american,2 Equipment,COWELL BL
8/26/20,23:58:28,white,1 Moving,CHILES RD
8/29/20,20:34:34,hispanic/latino(a),2 Equipment,COWELL BL
8/30/20,01:07:20,black/african american,1 Moving,I 80 E
8/30/20,23:03:02,white,1 Moving,POLE LINE RD
8/31/20,05:09:21,white,1 Moving,RICHARDS BL
9/2/20,04:24:42,white,3 Non-Moving,CHILES RD
9/2/20,04:14:40,hispanic/latino(a),2 Equipment,CHILES RD
9/3/20,04:58:21,white,1 Moving,POLE LINE RD
9/3/20,04:48:51,hispanic/latino(a),1 Moving,POLE LINE RD
9/3/20,04:52:58,white,1 Moving,POLE LINE RD
9/3/20,05:37:30,white,2 Equipment,2ND ST
9/3/20,04:50:50,white,2 Equipment,MACE BL
9/4/20,04:36:08,mixed,2 Equipment,MACE BL
9/6/20,23:00:21,middle eastern or south asian,1 Moving,ANDERSON RD
9/6/20,01:18:12,white,1 Moving,W 8TH ST
9/6/20,22:34:40,asian,1 Moving,E COVELL BL
9/7/20,00:00:00,hispanic/latino(a),1 Moving,LA VIDA WY
9/7/20,10:15:01,asian,1 Moving,COWELL BL
9/9/20,02:24:10,white,1 Moving,5TH ST
9/10/20,21:35:50,white,3 Non-Moving,I 80 E
9/10/20,01:35:40,mixed,1 Moving,DREW AV
9/13/20,19:59:09,white,1 Moving,POLE LINE RD
9/13/20,03:28:15,white,1 Moving,W COVELL BL
9/14/20,21:41:39,white,1 Moving,2ND ST
9/14/20,21:41:39,white,1 Moving,2ND ST
9/15/20,22:49:19,white,2 Equipment,2ND ST
9/15/20,22:17:26,white,3 Non-Moving,CHILES RD
9/15/20,04:12:17,asian,1 Moving,E ST
9/16/20,21:53:08,black/african american,2 Equipment,CHILES RD
9/16/20,02:27:18,hispanic/latino(a),2 Equipment,CHILES RD
9/17/20,15:21:36,white,1 Moving,5TH ST
9/17/20,04:07:53,white,1 Moving,MOORE BL
9/17/20,04:22:08,white,1 Moving,POLE LINE RD
9/18/20,22:15:53,white,1 Moving,4TH ST
9/19/20,15:28:58,white,1 Moving,SYCAMORE LN
9/19/20,21:14:49,asian,1 Moving,4TH ST
9/19/20,23:02:52,hispanic/latino(a),2 Equipment,COWELL BL
9/19/20,14:33:49,black/african american,3 Non-Moving,ALHAMBRA DR
9/19/20,22:23:47,white,1 Moving,E COVELL BL
9/20/20,03:22:05,white,1 Moving,E COVELL BL
9/20/20,09:39:48,white,1 Moving,SYCAMORE LN
9/20/20,02:45:45,black/african american,1 Moving,I 80 W
9/20/20,21:51:55,asian,2 Equipment,POLE LINE RD
9/21/20,19:29:16,white,2 Equipment,COWELL BL
9/21/20,20:39:32,white,2 Equipment,2ND ST
9/21/20,20:49:59,white,2 Equipment,CHILES RD
9/21/20,19:51:52,white,2 Equipment,I 80 W
9/21/20,03:48:56,white,3 Non-Moving,W COVELL BL
9/21/20,00:47:08,asian,1 Moving,W COVELL BL
9/22/20,01:04:35,asian,3 Non-Moving,L ST
9/23/20,03:56:58,white,2 Equipment,MACE BL
9/23/20,00:26:17,mixed,2 Equipment,CHILES RD
9/23/20,00:26:17,mixed,2 Equipment,CHILES RD
9/25/20,20:45:29,mixed,1 Moving,ANDERSON RD
9/25/20,22:29:48,white,1 Moving,W COVELL BL
9/25/20,02:48:26,white,2 Equipment,DRUMMOND AV
9/25/20,02:48:26,white,2 Equipment,DRUMMOND AV
9/25/20,23:32:40,hispanic/latino(a),1 Moving,W COVELL BL
9/26/20,23:11:28,hispanic/latino(a),2 Equipment,E COVELL BL
9/26/20,23:24:48,white,1 Moving,W COVELL BL
9/26/20,02:20:28,middle eastern or south asian,1 Moving,MACE BL
9/26/20,23:30:13,white,1 Moving,F ST
9/26/20,23:51:47,black/african american,1 Moving,MACE BL
9/26/20,01:26:13,hispanic/latino(a),1 Moving,MACE BL
9/27/20,22:43:04,hispanic/latino(a),1 Moving,W COVELL BL
9/27/20,20:58:15,hispanic/latino(a),1 Moving,MACE BL
9/27/20,02:13:43,black/african american,1 Moving,MACE BL
9/27/20,01:00:33,middle eastern or south asian,1 Moving,F ST
9/27/20,22:54:23,middle eastern or south asian,2 Equipment,ANDERSON RD
9/27/20,03:05:48,hispanic/latino(a),2 Equipment,1ST ST
9/27/20,00:05:17,black/african american,1 Moving,E COVELL BL
9/27/20,00:36:49,hispanic/latino(a),1 Moving,W OLIVE DR
9/28/20,03:59:50,hispanic/latino(a),1 Moving,5TH ST
9/28/20,01:19:01,asian,1 Moving,LAKE BL
9/29/20,00:53:20,mixed,1 Moving,F ST
9/30/20,11:25:38,asian,1 Moving,RUSSELL BL
10/1/20,19:18:29,hispanic/latino(a),1 Moving,COWELL BL
10/1/20,00:41:27,hispanic/latino(a),1 Moving,E 8TH ST
10/2/20,21:45:57,black/african american,1 Moving,5TH ST
10/3/20,20:45:36,white,3 Non-Moving,E 8TH ST
10/3/20,21:09:24,asian,1 Moving,RICHARDS BL
10/3/20,22:57:01,white,1 Moving,RUSSELL BL
10/3/20,21:15:19,hispanic/latino(a),2 Equipment,1ST ST
10/3/20,01:19:06,white,1 Moving,ALBANY AV
10/3/20,01:40:36,asian,3 Non-Moving,RUSSELL BL
10/3/20,00:45:17,white,1 Moving,E COVELL BL
10/3/20,05:27:19,mixed,1 Moving,I 80 W
10/4/20,23:13:18,white,1 Moving,W 8TH ST
10/4/20,23:51:47,white,1 Moving,E COVELL BL
10/4/20,21:43:38,white,1 Moving,2ND ST
10/4/20,22:45:31,white,1 Moving,E COVELL BL
10/4/20,22:58:18,middle eastern or south asian,1 Moving,E COVELL BL
10/4/20,04:45:05,native american,1 Moving,EL CEMONTE AV
10/5/20,02:43:53,middle eastern or south asian,1 Moving,I 80 E
10/6/20,01:52:53,hispanic/latino(a),3 Non-Moving,ANDERSON RD
10/6/20,23:10:40,black/african american,2 Equipment,CHILES RD
10/6/20,22:59:53,hispanic/latino(a),2 Equipment,COWELL BL
10/8/20,10:25:55,asian,1 Moving,RUSSELL BL
10/8/20,15:24:14,white,1 Moving,2ND ST
10/8/20,22:43:32,white,1 Moving,F ST
10/9/20,12:49:26,asian,1 Moving,MACE BL
10/9/20,21:47:55,black/african american,1 Moving,ALVARADO AV
10/9/20,21:13:07,hispanic/latino(a),1 Moving,ALVARADO AV
10/10/20,05:21:05,white,3 Non-Moving,W COVELL BL
10/10/20,20:56:29,hispanic/latino(a),1 Moving,L ST
10/10/20,01:58:34,hispanic/latino(a),1 Moving,ANDERSON RD
10/12/20,20:31:36,white,1 Moving,I 80 W
10/13/20,19:07:32,mixed,3 Non-Moving,E 8TH ST
10/16/20,20:30:36,white,1 Moving,E ST
10/16/20,19:51:08,white,1 Moving,MONTGOMERY AV
10/17/20,20:27:35,asian,1 Moving,E ST
10/17/20,12:03:32,white,1 Moving,SYCAMORE LN
10/17/20,06:02:12,asian,1 Moving,I 80 E
10/17/20,23:23:46,asian,2 Equipment,L ST
10/18/20,06:18:07,black/african american,1 Moving,CHILES RD
10/18/20,21:35:34,black/african american,1 Moving,CHILES RD
10/18/20,01:16:32,middle eastern or south asian,1 Moving,E COVELL BL
10/18/20,04:30:46,black/african american,1 Moving,MACE BL
10/18/20,15:05:11,asian,1 Moving,ALHAMBRA DR
10/19/20,00:29:14,hispanic/latino(a),2 Equipment,WEBSTERS INTERCHANGE
10/19/20,02:04:01,middle eastern or south asian,1 Moving,ARLINGTON BL
10/19/20,06:11:31,white,1 Moving,MACE BL
10/19/20,23:43:38,asian,2 Equipment,CHILES RD
10/19/20,22:34:22,white,2 Equipment,CHILES RD
10/19/20,00:29:14,black/african american,2 Equipment,WEBSTERS INTERCHANGE
10/20/20,01:09:06,white,2 Equipment,MACE BL
10/20/20,23:10:13,mixed,2 Equipment,5TH ST
10/20/20,01:09:06,hispanic/latino(a),2 Equipment,MACE BL
10/21/20,13:21:26,middle eastern or south asian,1 Moving,3RD ST
10/21/20,09:21:03,black/african american,1 Moving,F ST
10/21/20,13:47:42,white,2 Equipment,PENA DR
10/21/20,02:28:07,white,1 Moving,I 80 W
10/21/20,02:28:07,mixed,1 Moving,I 80 W
10/21/20,19:06:40,black/african american,3 Non-Moving,CHILES RD
10/22/20,22:27:24,mixed,1 Moving,CHILES RD
10/23/20,21:05:39,hispanic/latino(a),1 Moving,ANDERSON RD
10/23/20,00:41:33,middle eastern or south asian,1 Moving,I 80 E
10/23/20,23:50:18,hispanic/latino(a),1 Moving,ALVARADO AV
10/23/20,15:48:41,hispanic/latino(a),1 Moving,E COVELL BL
10/23/20,10:36:31,white,1 Moving,I 80 E
10/23/20,00:41:33,asian,1 Moving,I 80 E
10/24/20,03:44:26,middle eastern or south asian,1 Moving,W 8TH ST
10/24/20,13:13:32,middle eastern or south asian,1 Moving,2ND ST
10/24/20,05:48:24,black/african american,1 Moving,CHILES RD
10/24/20,09:46:25,white,1 Moving,RUSSELL BL
10/24/20,05:37:06,white,1 Moving,I 80 E
10/24/20,06:22:25,white,1 Moving,CR32B
10/25/20,06:43:37,hispanic/latino(a),1 Moving,I 80 E
10/25/20,21:16:32,white,1 Moving,E COVELL BL
10/25/20,11:54:16,hispanic/latino(a),1 Moving,RUSSELL BL
10/25/20,01:19:35,hispanic/latino(a),1 Moving,E COVELL BL
10/25/20,22:20:06,white,1 Moving,I 80 E
10/25/20,02:29:06,white,1 Moving,ALHAMBRA DR
10/26/20,01:37:59,middle eastern or south asian,1 Moving,I 80 E
10/27/20,22:22:14,white,2 Equipment,F ST
10/27/20,23:39:12,mixed,1 Moving,COWELL BL
10/28/20,02:32:51,mixed,2 Equipment,RESEARCH PARK DR
10/28/20,01:35:02,hispanic/latino(a),2 Equipment,1ST ST
10/28/20,23:12:24,white,2 Equipment,COWELL BL
10/28/20,23:12:24,black/african american,2 Equipment,COWELL BL
10/28/20,22:54:56,mixed,2 Equipment,CHILES RD
10/29/20,00:10:27,mixed,2 Equipment,COWELL BL
10/29/20,22:49:20,mixed,2 Equipment,COWELL BL
10/29/20,01:02:41,mixed,1 Moving,LILLARD DR
10/30/20,20:51:24,middle eastern or south asian,1 Moving,RUSSELL BL
10/31/20,20:15:09,white,1 Moving,PARKWAY CIR
10/31/20,22:22:52,black/african american,2 Equipment,5TH ST
10/31/20,02:25:55,white,3 Non-Moving,COWELL BL
10/31/20,01:15:49,hispanic/latino(a),2 Equipment,CHILES RD
10/31/20,18:30:17,middle eastern or south asian,1 Moving,J ST
10/31/20,01:25:21,white,1 Moving,W COVELL BL
10/31/20,02:25:55,white,3 Non-Moving,COWELL BL
11/1/20,22:12:43,white,1 Moving,5TH ST
11/1/20,22:31:11,hispanic/latino(a),1 Moving,RUSSELL BL
11/1/20,20:23:00,white,1 Moving,F ST
11/1/20,21:49:35,white,1 Moving,ADAMS ST
11/1/20,21:32:46,middle eastern or south asian,1 Moving,W COVELL BL
11/1/20,01:50:28,middle eastern or south asian,1 Moving,3RD ST
11/1/20,02:47:44,hispanic/latino(a),2 Equipment,E COVELL BL
11/1/20,00:00:51,white,2 Equipment,G ST
