,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
4617,2022-01-24 16:37:00,1900-01-01 16:37:00,white,2_Equipment violation,No,1.0,Tiburon Blvd at N Knoll Rd,17:25:01,17:53:50,1045.0,1074.0,997.0,77.0,0,0
4618,2022-01-24 22:28:00,1900-01-01 22:28:00,black/african american,2_Equipment violation,No,2.0,100 N Sam Pedro road ,17:25:01,17:53:50,1045.0,1074.0,1348.0,-274.0,0,1
4619,2022-01-24 21:34:00,1900-01-01 21:34:00,white,,Yes,15.0,Lagunitas School Rd/Sir Francis Drake ,17:25:01,17:53:50,1045.0,1074.0,1294.0,-220.0,0,1
4620,2022-01-24 21:37:00,1900-01-01 21:37:00,white,,Yes,15.0,Lagunitas School Rd/Sir Francis Drake,17:25:01,17:53:50,1045.0,1074.0,1297.0,-223.0,0,1
4621,2022-01-24 21:38:00,1900-01-01 21:38:00,white,,Yes,15.0,Lagunitas School/Sir Francis Drake,17:25:01,17:53:50,1045.0,1074.0,1298.0,-224.0,0,1
4622,2022-01-24 21:35:00,1900-01-01 21:35:00,white,,Yes,15.0,Lagunitas School/Sir Francis Drake ,17:25:01,17:53:50,1045.0,1074.0,1295.0,-221.0,0,1
4623,2022-01-24 21:35:00,1900-01-01 21:35:00,white,,Yes,15.0,Lagunitas School/Sir Francis Drake ,17:25:01,17:53:50,1045.0,1074.0,1295.0,-221.0,0,1
4624,2022-01-24 21:36:00,1900-01-01 21:36:00,white,,Yes,15.0,Lagunitas School/Sir Francis Drake ,17:25:01,17:53:50,1045.0,1074.0,1296.0,-222.0,0,1
4626,2022-01-24 19:37:00,1900-01-01 19:37:00,hispanic/latino(a),2_Equipment violation,No,2.0,100 N San Pedro rd,17:25:01,17:53:50,1045.0,1074.0,1177.0,-103.0,1,1
4627,2022-01-24 22:53:00,1900-01-01 22:53:00,asian,1_Moving violation,No,,Northbound 101 @ Ignacio,17:25:01,17:53:50,1045.0,1074.0,1373.0,-299.0,0,1
4630,2022-01-25 22:57:00,1900-01-01 22:57:00,white,2_Equipment violation,No,1.0,170 Shoreline Hwy ,17:26:08,17:54:53,1046.0,1075.0,1377.0,-302.0,0,1
4631,2022-01-25 21:52:00,1900-01-01 21:52:00,black/african american,"3_Non-moving violation, including registration",No,1.0,570 Redwood Hwy Frontage ,17:26:08,17:54:53,1046.0,1075.0,1312.0,-237.0,0,1
4632,2022-01-25 19:41:00,1900-01-01 19:41:00,black/african american,1_Moving violation,No,1.0,SB 101 at No Name Exit ,17:26:08,17:54:53,1046.0,1075.0,1181.0,-106.0,1,1
4633,2022-01-25 23:18:00,1900-01-01 23:18:00,black/african american,2_Equipment violation,No,1.0,Bridge and Bridgeway ,17:26:08,17:54:53,1046.0,1075.0,1398.0,-323.0,0,1
4637,2022-01-25 19:36:00,1900-01-01 19:36:00,hispanic/latino(a),2_Equipment violation,No,,131 @ NB 101,17:26:08,17:54:53,1046.0,1075.0,1176.0,-101.0,1,1
4638,2022-01-25 19:50:00,1900-01-01 19:50:00,hispanic/latino(a),2_Equipment violation,No,,De Silva Island,17:26:08,17:54:53,1046.0,1075.0,1190.0,-115.0,1,1
4639,2022-01-25 21:15:00,1900-01-01 21:15:00,white,1_Moving violation,No,,Tiburon Blvd @ Belvedere,17:26:08,17:54:53,1046.0,1075.0,1275.0,-200.0,0,1
4640,2022-01-25 21:39:00,1900-01-01 21:39:00,hispanic/latino(a),1_Moving violation,No,,100 Shoreline Hwy,17:26:08,17:54:53,1046.0,1075.0,1299.0,-224.0,0,1
