date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,Donahue Street,94965,"37.8718777, -122.5091403","100 Donahue St, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Seminary Drive,94941,"37.8835991, -122.5020409","100 Seminary Dr, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Seminary Drive,94941,"37.8835991, -122.5020409","100 Seminary Dr, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,East Sir Francis Drake Boulevard,94901,"37.9438822, -122.5021365","100 E Sir Francis Drake Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,Tiburon Boulevard,94941,"37.9020354, -122.5118764","100 Tiburon Blvd, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Tiburon Boulevard,94941,"37.9020354, -122.5118764","100 Tiburon Blvd, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Tiburon Boulevard,94941,"37.9020354, -122.5118764","100 Tiburon Blvd, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Vía La Cumbre,94904,"37.94757180000001, -122.5143566","100 Vía La Cumbre, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Nicasio Valley Road,94946,"38.0328611, -122.6711163","1000 Nicasio Valley Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Los Gamos Drive,94903,"38.0133569, -122.5429241","1000 Los Gamos Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Marin County,94920,"38.1231556, -122.7160784","Pt. Reyes - Petaluma Rd, California, USA"
,,,,,,,,,,,,,,,Marin County,94920,"38.1231556, -122.7160784","Pt. Reyes - Petaluma Rd, California, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Marin County,94920,"38.1231556, -122.7160784","Pt. Reyes - Petaluma Rd, California, USA"
,,,,,,,,,,,,,,,Marin County,94920,"38.1231556, -122.7160784","Pt. Reyes - Petaluma Rd, California, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Mueang Nonthaburi District,94939,"13.8658492, 100.4941285","Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94956,"38.06426, -122.8051807","11100 Sir Francis Drake Blvd, Point Reyes Station, CA 94956, USA"
,,,,,,,,,,,,,,,Point Reyes - Petaluma Road,94946,"38.0905876, -122.7533952","11600 Pt. Reyes - Petaluma Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,Point Reyes - Petaluma Road,94946,"38.0905876, -122.7533952","11600 Pt. Reyes - Petaluma Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Point Reyes - Petaluma Road,94946,"38.082652, -122.760562","12000 Pt. Reyes - Petaluma Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Sonoma County,94920,"38.3771703, -122.6782631","Petaluma Hill Rd, California, USA"
,,,,,,,,,,,,,,,Sonoma County,94920,"38.3771703, -122.6782631","Petaluma Hill Rd, California, USA"
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Los Angeles County,94904,"34.0160089, -118.3695699","California's 37th Congressional District, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Greenfield Avenue,94901,"37.9753674, -122.5475489","132 Greenfield Ave, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,Sonoma County,94920,"38.232417, -122.6366524","Petaluma, CA, USA"
,,,,,,,,,,,,,,,Sonoma County,94920,"38.232417, -122.6366524","Petaluma, CA, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Lucas Valley Road,94903,"38.0255683, -122.5692136","1500 Lucas Valley Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94960,"37.9865784, -122.5769978","1500 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA"
,,,,,,,,,,,,,,,Vendola Drive,94903,"38.0176635, -122.5154852","1500 Vendola Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Donahue Street,94965,"37.8714628, -122.5106738","151 Donahue St, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Los Gamos Drive,94903,"38.0199089, -122.5413399","1600 Los Gamos Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Point Reyes - Petaluma Road,94956,"38.0826613, -122.7811249","16000 Pt. Reyes - Petaluma Rd, Point Reyes Station, CA 94956, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.0199268, -122.5374509","2 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Lucky Drive,94904,"37.940611, -122.5171856","20 Lucky Dr, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,Butterfield Road,94960,"37.993941, -122.5761972","200 Butterfield Rd, San Anselmo, CA 94960, USA"
