date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-02 22:20:00,1900-01-01 22:20:00,black/african american,2_Equipment violation,,0.0,Sir Francis Drake BLVD/Larkspur Lansing Cir,18:51:15,19:18:01,1131.0,1158.0,1340.0,-182.0,0,1
2020-10-05 21:10:00,1900-01-01 21:10:00,white,,,2.0,1600 Los Gamos,18:46:42,19:13:30,1127.0,1154.0,1270.0,-116.0,1,1
2020-10-06 00:05:00,1900-01-01 00:05:00,white,2_Equipment violation,,5.0,Seminary/milland,18:45:12,19:12:01,1125.0,1152.0,5.0,1147.0,0,0
2020-10-06 00:52:00,1900-01-01 00:52:00,white,2_Equipment violation,,0.0,700 Binford Road,18:45:12,19:12:01,1125.0,1152.0,52.0,1100.0,0,0
2020-10-05 23:30:00,1900-01-01 23:30:00,white,,,0.0,8000 Binford Road,18:46:42,19:13:30,1127.0,1154.0,1410.0,-256.0,0,1
2020-10-06 03:13:00,1900-01-01 03:13:00,hispanic/latino(a),2_Equipment violation,,0.0,Highway 101 at Rowland Blvd,18:45:12,19:12:01,1125.0,1152.0,193.0,959.0,0,0
2020-10-06 11:29:00,1900-01-01 11:29:00,hispanic/latino(a),1_Moving violation,,5.0,101 00UTH just North of Marin City,18:45:12,19:12:01,1125.0,1152.0,689.0,463.0,0,0
2020-10-06 16:49:00,1900-01-01 16:49:00,white,1_Moving violation,,20.0,Sir Francis Drake Boulevard at Nicasio Valley Road,18:45:12,19:12:01,1125.0,1152.0,1009.0,143.0,0,0
2020-10-07 00:12:00,1900-01-01 00:12:00,white,2_Equipment violation,,11.0,6 Laurel Grove Avenue ,18:43:43,19:10:33,1124.0,1151.0,12.0,1139.0,0,0
2020-10-06 22:51:00,1900-01-01 22:51:00,white,2_Equipment violation,,5.0,500 REDWOOD HWY FRONTAGE,18:45:12,19:12:01,1125.0,1152.0,1371.0,-219.0,0,1
2020-10-07 04:31:00,1900-01-01 04:31:00,black/african american,,,11.0,2400 Sir Francis Drake Blvd,18:43:43,19:10:33,1124.0,1151.0,271.0,880.0,0,0
2020-10-07 00:18:00,1900-01-01 00:18:00,hispanic/latino(a),,,0.0,700 Bell Marin Keys Blvd,18:43:43,19:10:33,1124.0,1151.0,18.0,1133.0,0,0
2020-10-07 01:35:00,1900-01-01 01:35:00,hispanic/latino(a),,,0.0,Binford Road/Airport Road,18:43:43,19:10:33,1124.0,1151.0,95.0,1056.0,0,0
2020-10-07 04:33:00,1900-01-01 04:33:00,white,,,,Gate Six Rd / bridgeway ,18:43:43,19:10:33,1124.0,1151.0,273.0,878.0,0,0
2020-10-07 14:45:00,1900-01-01 14:45:00,asian,1_Moving violation,,41.0,200 Phillips Dr,18:43:43,19:10:33,1124.0,1151.0,885.0,266.0,0,0
2020-10-07 20:06:00,1900-01-01 20:06:00,black/african american,2_Equipment violation,,3.0,400 Sir Francis Drake Blvd,18:43:43,19:10:33,1124.0,1151.0,1206.0,-55.0,1,1
2020-10-07 20:58:00,1900-01-01 20:58:00,native american,1_Moving violation,,14.0,Sir Francis Drake/Castro St,18:43:43,19:10:33,1124.0,1151.0,1258.0,-107.0,1,1
2020-10-07 20:47:00,1900-01-01 20:47:00,native american,1_Moving violation,,14.0,Sir Francis Drake/Castro,18:43:43,19:10:33,1124.0,1151.0,1247.0,-96.0,1,1
2020-10-07 21:48:00,1900-01-01 21:48:00,black/african american,1_Moving violation,,11.0,Gate six road,18:43:43,19:10:33,1124.0,1151.0,1308.0,-157.0,0,1
2020-10-07 23:59:00,1900-01-01 23:59:00,white,1_Moving violation,,13.0,Shoreline hwy@ flamingo rd,18:43:43,19:10:33,1124.0,1151.0,1439.0,-288.0,0,1
